rpm;T;Q;P;CT;CQ;CP
0;0.0;0.0;-0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0
8;0.0;1.1714361253944365e-05;9.815027213571974e-06;0.0;0.0016411434192269;0.0103116082186614
9;0.0;5.5327465402436906e-05;5.2151426583334685e-05;0.0;0.0061244014846161;0.038480749423409
10;0.0;9.659364402772462e-05;0.0001011652731461;0.0;0.00866076883504;0.0544172154932025
11;0.0;0.0001354216450348;0.0001560140383202;0.0;0.010034843677986;0.0630507823573656
12;0.0;0.0001718233504089;0.0002159465834668;0.0;0.0106986157012347;0.0672213849811591
13;0.0;0.0002059436101687;0.0002803977872526;0.0;0.0109262092544087;0.0686513974504706
14;0.0;0.0002375689724475;0.0003483378468932;0.0;0.0108677976748802;0.0682843866722078
15;0.0;0.0002668906423446;0.0004192832510572;0.0;0.0106355199240361;0.0668249425209197
16;0.0;0.0002938433103792;0.0004924007421962;0.0;0.0102916199325506;0.0646641551472785
17;0.0;0.0003186524392326;0.0005673474103065;0.0;0.0098861524041458;0.0621165275302676
18;0.0;0.000341162064632;0.000643155736026;0.0;0.0094411222343622;0.0593203205062314
19;0.0;0.0003615235756684;0.0007194044715246;0.0;0.0089791932503135;0.0564179351006964
20;0.0;0.0003799068023012;0.0007957744179078;0.0;0.0085157906265712;0.0535062905438899
21;0.0;0.0003963160793173;0.0008716535349899;0.0;0.0080576982590667;0.0506280113110545
22;0.0;0.0004107572729352;0.0009464351271695;0.0;0.007609354144312;0.0478109821566673
23;0.0;0.0004234366676656;0.0010199977350895;0.0;0.0071769626793362;0.0450941864569816
24;0.0;0.0004344155939204;0.0010919419635175;0.0;0.0067622437272311;0.0424884304305062
25;0.0;0.0004437025490379;0.0011617557765026;0.0;0.0063653135730259;0.0399944447176273
26;0.0;0.000451464592225;0.001229362470427;0.0;0.0059880427967231;0.0376239825191334
27;0.0;0.0004578431516679;0.0012946828489548;0.0;0.0056311499329006;0.0353815585209264
28;0.0;0.0004628122838442;0.0013572061436231;0.0;0.0052929368368785;0.0332565029653047
29;0.0;0.0004664409148302;0.0014166988603431;0.0;0.0049728864113031;0.0312455668337729
30;0.0;0.0004688463779694;0.0014731084752503;0.0;0.0046708503437963;0.0293478182521761
31;0.0;0.0004700943069323;0.0015262637648287;0.0;0.0043860088205515;0.0275581061784497
32;0.0;0.0004703159996704;0.001576241072193;0.0;0.0041181076323964;0.0258748333692576
33;0.0;0.0004694295185204;0.0016224347637838;0.0;0.0038650081339774;0.0242845623195366
34;0.0;0.0004676747377076;0.0016653508251386;0.0;0.0036273876827062;0.0227915489914239
35;0.0;0.0004650420993948;0.0017046814020889;0.0;0.0034038003494855;0.0213867083444602
36;0.0;0.0004614603375796;0.0017398819730024;0.0;0.0031925468164944;0.0200593632498811
37;0.0;0.0004570853062982;0.0017712582770252;0.0;0.0029936547232647;0.0188096873719856
38;0.0;0.0004519349205495;0.0017986323690251;0.0;0.0028061869690491;0.0176317927331285
39;0.0;0.0004460063771627;0.0018217491839812;0.0;0.0026291765561395;0.0165196035075171
40;0.0;0.0004394013714101;0.0018407902593149;0.0;0.0024623473818387;0.0154713848907411
41;0.0;0.0004322329196604;0.0018560283491049;0.0;0.0023054622942337;0.0144856468133861
42;0.0;0.000424302679086;0.0018664139530654;0.0;0.0021566769158583;0.0135508007100542
43;0.0;0.0004157826972854;0.0018724825367541;0.0;0.0020162175831012;0.012668268694219
44;0.0;0.0004065427393018;0.0018734486497174;0.0;0.0018828197831049;0.0118301055972722
45;0.0;0.0003965664905338;0.0018690091861297;0.0;0.0017558963785588;0.0110326223266905
46;0.0;0.0003860273472081;0.0018597681774022;0.0;0.0016357250538724;0.010277563625077
47;0.0;0.0003748307157616;0.0018450831313879;0.0;0.0015214138064951;0.0095593248751103
48;0.0;0.0003629220593939;0.0018244733001507;0.0;0.0014123384691734;0.0088739843182749
49;0.0;0.0003501931370791;0.0017971594833516;0.0;0.0013077459007765;0.0082168098292838
50;0.0;0.0003366429457465;0.0017628787019049;0.0;0.0012073617316771;0.007586077492925
51;0.0;0.0003223539584212;0.001721813433653;0.0;0.0011112212864295;0.0069820092599191
52;0.0;0.0003071406663195;0.0016727212490982;0.0;0.0010184472305297;0.0063990926750022
53;0.0;0.0002908220138591;0.001614306722301;0.0;0.0009282894932861;0.0058326149050244
54;0.0;0.0002732886089876;0.0015456038758341;0.0;0.0008403145960341;0.0052798523232102
55;0.0;0.0002545654145063;0.0014663748296511;0.0;0.0007545393913171;0.0047409108172121
56;0.0;0.0002344874445631;0.001375278105067;0.0;0.0006704269076462;0.0042124164956606
